Variable.Name	Variable.Description
OHX07CJP	Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm)
OHX07CJS	Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)
OHX07LAA	Loss of Attachment:  Upper right lateral incisor (LI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM t
OHX07LAD	Loss of Attachment:  Upper right lateral incisor (LI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base 
OHX07LAL	Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to
OHX07LAM	Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to 
OHX07LAP	Loss of Attachment:  Upper right lateral incisor (LI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sul
OHX07LAS	Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM t
OHX07PCA	Loss of Attachment:  Upper right lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX07PCD	Loss of Attachment: Upper right lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm)
OHX07PCL	Loss of Attachment:  Upper right lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX07PCM	Loss of Attachment:  Upper right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX07PCP	Loss of Attachment: Upper right lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX07PCS	Loss of Attachment:  Upper right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX08CJA	Loss of Attachment:  Upper right central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)
OHX08CJD	Loss of Attachment: Upper right central incisor (CI) distal - FGM to CEJ measurement (mm)
OHX08CJL	Loss of Attachment:  Upper right central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)
OHX08CJM	Loss of Attachment:  Upper right central incisor (CI) mid-facial - FGM to CEJ measurement (mm)
OHX08CJP	Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)
OHX08CJS	Loss of Attachment:  Upper right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)
OHX08LAA	Loss of Attachment:  Upper right central incisor (CI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM t
OHX08LAD	Loss of Attachment:  Upper right central incisor (CI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base 
OHX08LAL	Loss of Attachment:  Upper right central incisor (CI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to
OHX08LAM	Loss of Attachment:  Upper right central incisor (CI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to 
OHX08LAP	Loss of Attachment:  Upper right central incisor (CI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sul
OHX08LAS	Loss of Attachment:  Upper right central incisor (CI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM t
OHX08PCA	Loss of Attachment:  Upper right central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX08PCD	Loss of Attachment: Upper right central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm)
OHX08PCL	Loss of Attachment:  Upper right central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX08PCM	Loss of Attachment:  Upper right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX08PCP	Loss of Attachment: Upper right central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX08PCS	Loss of Attachment:  Upper right central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX09CJA	Loss of Attachment:  Upper left central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm)
OHX09CJD	Loss of Attachment: Upper left central incisor (CI) distal - FGM to CEJ measurement (mm)
OHX09CJL	Loss of Attachment:  Upper left central incisor (CI) mid- lingual - FGM to CEJ measurement (mm)
OHX09CJM	Loss of Attachment:  Upper left central incisor (CI) mid-facial - FGM to CEJ measurement (mm)
OHX09CJP	Loss of Attachment: Upper left central incisor (CI) distal - lingual - FGM to CEJ measurement (mm)
OHX09CJS	Loss of Attachment:  Upper left central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)
OHX09LAA	Loss of Attachment:  Upper left central incisor (CI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to
OHX09LAD	Loss of Attachment:  Upper left central incisor (CI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base m
OHX09LAL	Loss of Attachment:  Upper left central incisor (CI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to 
OHX09LAM	Loss of Attachment:  Upper left central incisor (CI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to C
OHX09LAP	Loss of Attachment:  Upper left central incisor (CI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulc
OHX09LAS	Loss of Attachment:  Upper left central incisor (CI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to
OHX09PCA	Loss of Attachment:  Upper left central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX09PCD	Loss of Attachment: Upper left central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm)
OHX09PCL	Loss of Attachment:  Upper left central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX09PCM	Loss of Attachment:  Upper left central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX09PCP	Loss of Attachment: Upper left central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX09PCS	Loss of Attachment:  Upper left central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX10CJA	Loss of Attachment:  Upper left lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm)
OHX10CJD	Loss of Attachment: Upper left lateral incisor (LI) distal - FGM to CEJ measurement (mm)
OHX10CJL	Loss of Attachment:  Upper left lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm)
OHX10CJM	Loss of Attachment:  Upper left lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)
OHX10CJP	Loss of Attachment: Upper left lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm)
OHX10CJS	Loss of Attachment:  Upper left lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)
OHX10LAA	Loss of Attachment:  Upper left lateral incisor (LI) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to
OHX10LAD	Loss of Attachment:  Upper left lateral incisor (LI) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base m
OHX10LAL	Loss of Attachment:  Upper left lateral incisor (LI) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to 
OHX10LAM	Loss of Attachment:  Upper left lateral incisor (LI) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to C
OHX10LAP	Loss of Attachment:  Upper left lateral incisor (LI) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulc
OHX10LAS	Loss of Attachment:  Upper left lateral incisor (LI) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to
OHX10PCA	Loss of Attachment:  Upper left lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX10PCD	Loss of Attachment: Upper left lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm)
OHX10PCL	Loss of Attachment:  Upper left lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX10PCM	Loss of Attachment:  Upper left lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX10PCP	Loss of Attachment: Upper left lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX10PCS	Loss of Attachment:  Upper left lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX11CJA	Loss of Attachment:  Upper left cuspid (C) mesio- lingual - FGM to CEJ measurement (mm)
OHX11CJD	Loss of Attachment: Upper left cuspid (C) distal - FGM to CEJ measurement (mm)
OHX11CJL	Loss of Attachment:  Upper left cuspid (C) mid- lingual - FGM to CEJ measurement (mm)
OHX11CJM	Loss of Attachment:  Upper left cuspid (C) mid-facial - FGM to CEJ measurement (mm)
OHX11CJP	Loss of Attachment: Upper left cuspid (C) distal - lingual - FGM to CEJ measurement (mm)
OHX11CJS	Loss of Attachment:  Upper left cuspid (C) mesio-facial - FGM to CEJ measurement (mm)
OHX11LAA	Loss of Attachment:  Upper left cuspid (C) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measu
OHX11LAD	Loss of Attachment:  Upper left cuspid (C) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measurement
OHX11LAL	Loss of Attachment:  Upper left cuspid (C) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ measur
OHX11LAM	Loss of Attachment:  Upper left cuspid (C) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measure
OHX11LAP	Loss of Attachment:  Upper left cuspid (C) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus base me
OHX11LAS	Loss of Attachment:  Upper left cuspid (C) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ measu
OHX11PCA	Loss of Attachment:  Upper left cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX11PCD	Loss of Attachment: Upper left cuspid (C) distal - FGM to sulcus base (pocket depth) (mm)
OHX11PCL	Loss of Attachment:  Upper left cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX11PCM	Loss of Attachment:  Upper left cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX11PCP	Loss of Attachment: Upper left cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX11PCS	Loss of Attachment:  Upper left cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX12CJA	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)
OHX12CJD	Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)
OHX12CJL	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)
OHX12CJM	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)
OHX12CJP	Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)
OHX12CJS	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)
OHX12LAA	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of:  (FGM to sulcus base measure
OHX12LAD	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM t
OHX12LAL	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measurem
OHX12LAM	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measureme
OHX12LAP	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement)
OHX12LAS	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measure
OHX12PCA	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX12PCD	Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)
OHX12PCL	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX12PCM	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX12PCP	Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX12PCS	Loss of Attachment:  Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX13CJA	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX13CJD	Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX13CJL	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)
OHX13CJM	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX13CJP	Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX13CJS	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX13LAA	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measure
OHX13LAD	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM t
OHX13LAL	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of:  (FGM to sulcus base measurem
OHX13LAM	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measureme
OHX13LAP	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of:  (FGM to CEJ measurement)
OHX13LAS	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measure
OHX13PCA	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX13PCD	Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX13PCL	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX13PCM	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX13PCP	Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX13PCS	Loss of Attachment:  Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX14CJA	Loss of Attachment:  Upper left 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX14CJD	Loss of Attachment: Upper left 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX14CJL	Loss of Attachment:  Upper left 1st molar (1M) mid- lingual - FGM to CEJ measurement (mm)
OHX14CJM	Loss of Attachment:  Upper left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX14CJP	Loss of Attachment: Upper left 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX14CJS	Loss of Attachment:  Upper left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX14LAA	Loss of Attachment:  Upper left 1st molar (1M) mesio- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 
OHX14LAD	Loss of Attachment:  Upper left 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measure
OHX14LAL	Loss of Attachment:  Upper left 1st molar (1M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX14LAM	Loss of Attachment:  Upper left 1st molar (1M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ mea
OHX14LAP	Loss of Attachment:  Upper left 1st molar (1M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX14LAS	Loss of Attachment:  Upper left 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ m
OHX14PCA	Loss of Attachment:  Upper left 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX14PCD	Loss of Attachment: Upper left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX14PCL	Loss of Attachment:  Upper left 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX14PCM	Loss of Attachment:  Upper left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX14PCP	Loss of Attachment: Upper left 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX14PCS	Loss of Attachment:  Upper left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX15CJA	Loss of Attachment:  Upper left 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX15CJD	Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX15CJL	Loss of Attachment:  Upper left 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)
OHX15CJM	Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX15CJP	Loss of Attachment: Upper left 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX15CJS	Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX15LAA	Loss of Attachment:  Upper left 2nd molar (2M) mesio- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 
OHX15LAD	Loss of Attachment:  Upper left 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measure
OHX15LAL	Loss of Attachment:  Upper left 2nd molar (2M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX15LAM	Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ mea
OHX15LAP	Loss of Attachment:  Upper left 2nd molar (2M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX15LAS	Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ m
OHX15PCA	Loss of Attachment:  Upper left 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX15PCD	Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX15PCL	Loss of Attachment:  Upper left 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX15PCM	Loss of Attachment:  Upper left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX15PCP	Loss of Attachment: Upper left 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX15PCS	Loss of Attachment:  Upper left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX18CJA	Loss of Attachment:  Lower left 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX18CJD	Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX18CJL	Loss of Attachment:  Lower left 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)
OHX18CJM	Loss of Attachment:  Lower left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX18CJP	Loss of Attachment: Lower left 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX18CJS	Loss of Attachment:  Lower left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX18LAA	Loss of Attachment:  Lower left 2nd molar (2M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ m
OHX18LAD	Loss of Attachment:  Lower left 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measure
OHX18LAL	Loss of Attachment:  Lower left 2nd molar (2M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX18LAM	Loss of Attachment:  Lower left 2nd molar (2M) mid-facial - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ meas
OHX18LAP	Loss of Attachment:  Lower left 2nd molar (2M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX18LAS	Loss of Attachment:  Lower left 2nd molar (2M) mesio-facial - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX18PCA	Loss of Attachment:  Lower left 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX18PCD	Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX18PCL	Loss of Attachment:  Lower left 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX18PCM	Loss of Attachment:  Lower left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX18PCP	Loss of Attachment: Lower left 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX18PCS	Loss of Attachment:  Lower left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX19CJA	Loss of Attachment:  Lower left 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX19CJD	Loss of Attachment: Lower left 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX19CJL	Loss of Attachment:  Lower left 1st molar (1M) mid- lingual - FGM to CEJ measurement (mm)
OHX19CJM	Loss of Attachment:  Lower left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX19CJP	Loss of Attachment: Lower left 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX19CJS	Loss of Attachment:  Lower left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX19LAA	Loss of Attachment:  Lower left 1st molar (1M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ m
OHX19LAD	Loss of Attachment:  Lower left 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measure
OHX19LAL	Loss of Attachment:  Lower left 1st molar (1M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX19LAM	Loss of Attachment:  Lower left 1st molar (1M) mid-facial - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ meas
OHX19LAP	Loss of Attachment:  Lower left 1st molar (1M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus bas
OHX19LAS	Loss of Attachment:  Lower left 1st molar (1M) mesio-facial - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ me
OHX19PCA	Loss of Attachment:  Lower left 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX19PCD	Loss of Attachment: Lower left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX19PCL	Loss of Attachment:  Lower left 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX19PCM	Loss of Attachment:  Lower left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX19PCP	Loss of Attachment: Lower left 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX19PCS	Loss of Attachment:  Lower left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX20CJA	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX20CJD	Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX20CJL	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)
OHX20CJM	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX20CJP	Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX20CJS	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX20LAA	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measure
OHX20LAD	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM t
OHX20LAL	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of:  (FGM to sulcus base measurem
OHX20LAM	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measureme
OHX20LAP	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of:  (FGM to CEJ measurement)
OHX20LAS	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - Level of attachment calculation of :  (FGM to
OHX20PCA	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX20PCD	Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX20PCL	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX20PCM	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX20PCP	Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX20PCS	Loss of Attachment:  Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX21CJA	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)
OHX21CJD	Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)
OHX21CJL	Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)
OHX21CJM	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)
OHX21CJP	Loss of Attachment: Lower left 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)
OHX21CJS	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)
OHX21LAA	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of:  (FGM to sulcus base measure
OHX21LAD	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM t
OHX21LAL	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measurem
OHX21LAM	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measureme
OHX21LAP	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement)
OHX21LAS	Loss of Attachment:  Lower left 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measure
