Variable.Name	Variable.Description	Code.or.Value	Value.Description
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	S	Sound permanent tooth
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	U	Unerupted
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	Y	Tooth present, condition cannot be assessed
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	Z	Permanent tooth with surface condition (s)
OHX21CTC	Coronal Caries:  Lower left 1st bicuspid/1st primary molar (1B) tooth code	< blank >	Missing
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	0	Sealant not present
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	1	Occlusal sealant on permanent tooth
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	2	Facial sealant on permanent tooth
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	3	Lingual sealant on permanent tooth
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	4	Occlusal sealant on primary tooth
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	9	Cannot be assessed
OHX21SE	Dental Sealants:  Lower left 1st bicuspid/1st primary molar (1B) sealant codes.	< blank >	Missing
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	1	Primary tooth (deciduous) present
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	2	Permanent tooth present
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	3	Dental implant
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	4	Tooth not present
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	5	Permanent dental root fragment present
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	9	Could not assess
OHX21TC	Tooth Count:  Lower left 1st bicuspid/1st primary molar (1B)	.	Missing
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	Coronal Caries:  Surface condition #22	Value was recorded
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	0	Lingual surface caries
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	2	Facial surface caries
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	3	Mesial caries
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	4	Distal caries
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	5	Lingual surface restoration
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	7	Facial surface restoration
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	8	Mesial restoration
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	9	Distal restoration
OHX22CSC	"Coronal Caries:  Lower left cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", """	< blank >	Missing
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	D	Sound primary tooth
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	E	Missing due to dental disease
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	K	Primary tooth with surface condition (s)
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	M	Missing due to other causes
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	S	Sound permanent tooth
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	U	Unerupted
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	Y	Tooth present, condition cannot be assessed
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	Z	Permanent tooth with surface condition (s)
OHX22CTC	Coronal Caries:  Lower left cuspid (C) tooth code	< blank >	Missing
OHX22TC	Tooth Count:  Lower left cuspid (C)	1	Primary tooth (deciduous) present
OHX22TC	Tooth Count:  Lower left cuspid (C)	2	Permanent tooth present
OHX22TC	Tooth Count:  Lower left cuspid (C)	3	Dental implant
OHX22TC	Tooth Count:  Lower left cuspid (C)	4	Tooth not present
OHX22TC	Tooth Count:  Lower left cuspid (C)	5	Permanent dental root fragment present
OHX22TC	Tooth Count:  Lower left cuspid (C)	9	Could not assess
OHX22TC	Tooth Count:  Lower left cuspid (C)	.	Missing
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	Coronal Caries:  Surface condition #23	Value was recorded
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	0	Lingual surface caries
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	2	Facial surface caries
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	3	Mesial caries
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	4	Distal caries
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	5	Lingual surface restoration
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	7	Facial surface restoration
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	8	Mesial restoration
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	9	Distal restoration
OHX23CSC	"Coronal Caries:  Lower left lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:""0"	< blank >	Missing
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	D	Sound primary tooth
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	E	Missing due to dental disease
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	K	Primary tooth with surface condition (s)
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	M	Missing due to other causes
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	S	Sound permanent tooth
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	U	Unerupted
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	Y	Tooth present, condition cannot be assessed
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	Z	Permanent tooth with surface condition (s)
OHX23CTC	Coronal Caries:  Lower left lateral incisor (LI) tooth code	< blank >	Missing
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	1	Primary tooth (deciduous) present
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	2	Permanent tooth present
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	3	Dental implant
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	4	Tooth not present
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	5	Permanent dental root fragment present
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	9	Could not assess
OHX23TC	Tooth Count:  Lower left lateral incisor (LI)	.	Missing
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	Coronal Caries:  Surface condition #24	Value was recorded
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	0	Lingual surface caries
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	2	Facial surface caries
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	3	Mesial caries
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	4	Distal caries
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	5	Lingual surface restoration
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	7	Facial surface restoration
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	8	Mesial restoration
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	9	Distal restoration
OHX24CSC	"Coronal Caries:  Lower left central incisor (CI) surface calls.These values can be recorded as a string variable, for example:""0"	< blank >	Missing
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	D	Sound primary tooth
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	E	Missing due to dental disease
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	K	Primary tooth with surface condition (s)
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	M	Missing due to other causes
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	S	Sound permanent tooth
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	U	Unerupted
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	Y	Tooth present, condition cannot be assessed
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	Z	Permanent tooth with surface condition (s)
OHX24CTC	Coronal Caries:  Lower left central incisor (CI) tooth code	< blank >	Missing
OHX24TC	Tooth Count:  Lower left central incisor (CI)	1	Primary tooth (deciduous) present
OHX24TC	Tooth Count:  Lower left central incisor (CI)	2	Permanent tooth present
OHX24TC	Tooth Count:  Lower left central incisor (CI)	3	Dental implant
OHX24TC	Tooth Count:  Lower left central incisor (CI)	4	Tooth not present
OHX24TC	Tooth Count:  Lower left central incisor (CI)	5	Permanent dental root fragment present
OHX24TC	Tooth Count:  Lower left central incisor (CI)	9	Could not assess
OHX24TC	Tooth Count:  Lower left central incisor (CI)	.	Missing
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	Coronal Caries:  Surface condition #25	Value was recorded
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	0	Lingual surface caries
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	2	Facial surface caries
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	3	Mesial caries
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	4	Distal caries
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	5	Lingual surface restoration
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	7	Facial surface restoration
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	8	Mesial restoration
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	9	Distal restoration
OHX25CSC	"Coronal Caries:  Lower right central incisor (CI) surface calls.These values can be recorded as a string variable, for example:"""	< blank >	Missing
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	D	Sound primary tooth
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	E	Missing due to dental disease
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	K	Primary tooth with surface condition (s)
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	M	Missing due to other causes
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	P	Missing due to dental disease but replaced by a removable restoration
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	Q	Missing due to other causes but replaced by a removable restoration
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	S	Sound permanent tooth
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	U	Unerupted
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	Y	Tooth present, condition cannot be assessed
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	Z	Permanent tooth with surface condition (s)
OHX25CTC	Coronal Caries:  Lower right central incisor (CI) tooth code	< blank >	Missing
OHX25TC	Tooth Count:  Lower right central incisor (CI)	1	Primary tooth (deciduous) present
OHX25TC	Tooth Count:  Lower right central incisor (CI)	2	Permanent tooth present
OHX25TC	Tooth Count:  Lower right central incisor (CI)	3	Dental implant
OHX25TC	Tooth Count:  Lower right central incisor (CI)	4	Tooth not present
OHX25TC	Tooth Count:  Lower right central incisor (CI)	5	Permanent dental root fragment present
OHX25TC	Tooth Count:  Lower right central incisor (CI)	9	Could not assess
OHX25TC	Tooth Count:  Lower right central incisor (CI)	.	Missing
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	Coronal Caries:  Surface condition #26	Value was recorded
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	0	Lingual surface caries
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	2	Facial surface caries
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	3	Mesial caries
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	4	Distal caries
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	5	Lingual surface restoration
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	7	Facial surface restoration
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	8	Mesial restoration
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	9	Distal restoration
OHX26CSC	"Coronal Caries:  Lower right lateral incisor (LI) surface calls.These values can be recorded as a string variable, for example:"""	< blank >	Missing
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	D	Sound primary tooth
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	E	Missing due to dental disease
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	K	Primary tooth with surface condition (s)
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	M	Missing due to other causes
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	P	Missing due to dental disease, but replaced by a removable restoration
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	Q	Missing due to other causes, but replaced by a removable restoration
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	S	Sound permanent tooth
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	U	Unerupted
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	Y	Tooth present, condition cannot be assessed
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	Z	Permanent tooth with surface condition (s)
OHX26CTC	Coronal Caries:  Lower right lateral incisor (LI) tooth code	< blank >	Missing
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	1	Primary tooth (deciduous) present
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	2	Permanent tooth present
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	3	Dental implant
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	4	Tooth not present
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	5	Permanent dental root fragment present
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	9	Could not assess
OHX26TC	Tooth Count:  Lower right lateral incisor (LI)	.	Missing
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	Coronal Caries:  Surface condition #27	Value was recorded
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	0	Lingual surface caries
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	2	Facial surface caries
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	3	Mesial caries
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	4	Distal caries
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	5	Lingual surface restoration
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	7	Facial surface restoration
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	8	Mesial restoration
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	9	Distal restoration
OHX27CSC	"Coronal Caries:  Lower right cuspid (C) surface calls.These values can be recorded as a string variable, for example:""0"", ""13"", "	< blank >	Missing
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	D	Sound primary tooth
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	E	Missing due to dental disease
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	K	Primary tooth with surface condition (s)
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	M	Missing due to other causes
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	P	Missing due to dental disease, but replaced by a removable restoration
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	Q	Missing due to other causes, but replaced by a removable restoration
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	S	Sound permanent tooth
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	U	Unerupted
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	Y	Tooth present, condition cannot be assessed
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	Z	Permanent tooth with surface condition (s)
OHX27CTC	Coronal Caries:  Lower right cuspid (C) tooth code	< blank >	Missing
OHX27TC	Tooth Count:  Lower right cuspid (C)	1	Primary tooth (deciduous) present
OHX27TC	Tooth Count:  Lower right cuspid (C)	2	Permanent tooth present
OHX27TC	Tooth Count:  Lower right cuspid (C)	3	Dental implant
OHX27TC	Tooth Count:  Lower right cuspid (C)	4	Tooth not present
OHX27TC	Tooth Count:  Lower right cuspid (C)	5	Permanent dental root fragment present
OHX27TC	Tooth Count:  Lower right cuspid (C)	9	Could not assess
OHX27TC	Tooth Count:  Lower right cuspid (C)	.	Missing
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	Coronal Caries:  Surface condition #28	Value was recorded
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	0	Lingual surface caries
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	1	Occlusal/incisal caries
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	2	Facial surface caries
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	3	Mesial caries
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	4	Distal caries
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	5	Lingual surface restoration
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	6	Occlusal/incisal restoration
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	7	Facial surface restoration
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	8	Mesial restoration
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	9	Distal restoration
OHX28CSC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) surface calls.These values can be recorded as a string variable	< blank >	Missing
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	D	Sound primary tooth
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	E	Missing due to dental disease
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	J	Permanent root tip is present but no restorative replacement is present
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	K	Primary tooth with surface condition (s)
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	M	Missing due to other causes
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	P	Missing due to dental disease, but replaced by a removable restoration
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	Q	Missing due to other causes, but replaced by a removable restoration
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	R	Missing due to dental disease, but replaced by a fixed restoration
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	S	Sound permanent tooth
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	T	Permanent root tip is present but a restorative replacement is present
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	U	Unerupted
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	X	Missing due to other causes, but replaced by a fixed restoration
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	Y	Tooth present, condition cannot be assessed
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	Z	Permanent tooth with surface condition (s)
OHX28CTC	Coronal Caries:  Lower right 1st bicuspid/1st primary molar (1B) tooth code	< blank >	Missing
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	0	Sealant not present
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	1	Occlusal sealant on permanent tooth
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	2	Facial sealant on permanent tooth
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	3	Lingual sealant on permanent tooth
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	4	Occlusal sealant on primary tooth
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	9	Cannot be assessed
OHX28SE	Dental Sealants:  Lower right 1st bicuspid/1st primary molar (1B) sealant codes.	< blank >	Missing
OHX28TC	Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)	1	Primary tooth (deciduous) present
OHX28TC	Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)	2	Permanent tooth present
OHX28TC	Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)	3	Dental implant
OHX28TC	Tooth Count:  Lower right 1st bicuspid/1st primary molar (1B)	4	Tooth not present
