Code.or.Value	Value.Description	Variable.Name
1	Occlusal/incisal caries	OHX20CSC
2	Facial surface caries	OHX20CSC
3	Mesial caries	OHX20CSC
4	Distal caries	OHX20CSC
5	Lingual surface restoration	OHX20CSC
6	Occlusal/incisal restoration	OHX20CSC
7	Facial surface restoration	OHX20CSC
8	Mesial restoration	OHX20CSC
9	Distal restoration	OHX20CSC
< blank >	Missing	OHX20CSC
D	Sound primary tooth	OHX20CTC
E	Missing due to dental disease	OHX20CTC
J	Permanent root tip is present but no restorative replacement is present	OHX20CTC
K	Primary tooth with surface condition (s)	OHX20CTC
M	Missing due to other causes	OHX20CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX20CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX20CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX20CTC
S	Sound permanent tooth	OHX20CTC
T	Permanent root tip is present but a restorative replacement is present	OHX20CTC
U	Unerupted	OHX20CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX20CTC
Y	Tooth present, condition cannot be assessed	OHX20CTC
Z	Permanent tooth with surface condition (s)	OHX20CTC
< blank >	Missing	OHX20CTC
0	Sealant not present	OHX20SE
1	Occlusal sealant on permanent tooth	OHX20SE
2	Facial sealant on permanent tooth	OHX20SE
3	Lingual sealant on permanent tooth	OHX20SE
4	Occlusal sealant on primary tooth	OHX20SE
9	Cannot be assessed	OHX20SE
< blank >	Missing	OHX20SE
1	Primary tooth (deciduous) present	OHX20TC
2	Permanent tooth present	OHX20TC
3	Dental implant	OHX20TC
4	Tooth not present	OHX20TC
5	Permanent dental root fragment present	OHX20TC
9	Could not assess	OHX20TC
.	Missing	OHX20TC
Coronal Caries:  Surface condition #21	Value was recorded	OHX21CSC
0	Lingual surface caries	OHX21CSC
1	Occlusal/incisal caries	OHX21CSC
2	Facial surface caries	OHX21CSC
3	Mesial caries	OHX21CSC
4	Distal caries	OHX21CSC
5	Lingual surface restoration	OHX21CSC
6	Occlusal/incisal restoration	OHX21CSC
7	Facial surface restoration	OHX21CSC
8	Mesial restoration	OHX21CSC
9	Distal restoration	OHX21CSC
< blank >	Missing	OHX21CSC
D	Sound primary tooth	OHX21CTC
E	Missing due to dental disease	OHX21CTC
J	Permanent root tip is present but no restorative replacement is present	OHX21CTC
K	Primary tooth with surface condition (s)	OHX21CTC
M	Missing due to other causes	OHX21CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX21CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX21CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX21CTC
S	Sound permanent tooth	OHX21CTC
T	Permanent root tip is present but a restorative replacement is present	OHX21CTC
U	Unerupted	OHX21CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX21CTC
Y	Tooth present, condition cannot be assessed	OHX21CTC
Z	Permanent tooth with surface condition (s)	OHX21CTC
< blank >	Missing	OHX21CTC
0	Sealant not present	OHX21SE
1	Occlusal sealant on permanent tooth	OHX21SE
2	Facial sealant on permanent tooth	OHX21SE
3	Lingual sealant on permanent tooth	OHX21SE
4	Occlusal sealant on primary tooth	OHX21SE
9	Cannot be assessed	OHX21SE
< blank >	Missing	OHX21SE
1	Primary tooth (deciduous) present	OHX21TC
2	Permanent tooth present	OHX21TC
3	Dental implant	OHX21TC
4	Tooth not present	OHX21TC
5	Permanent dental root fragment present	OHX21TC
9	Could not assess	OHX21TC
.	Missing	OHX21TC
Coronal Caries:  Surface condition #22	Value was recorded	OHX22CSC
0	Lingual surface caries	OHX22CSC
2	Facial surface caries	OHX22CSC
3	Mesial caries	OHX22CSC
4	Distal caries	OHX22CSC
5	Lingual surface restoration	OHX22CSC
7	Facial surface restoration	OHX22CSC
8	Mesial restoration	OHX22CSC
9	Distal restoration	OHX22CSC
< blank >	Missing	OHX22CSC
D	Sound primary tooth	OHX22CTC
E	Missing due to dental disease	OHX22CTC
J	Permanent root tip is present but no restorative replacement is present	OHX22CTC
K	Primary tooth with surface condition (s)	OHX22CTC
M	Missing due to other causes	OHX22CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX22CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX22CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX22CTC
S	Sound permanent tooth	OHX22CTC
T	Permanent root tip is present but a restorative replacement is present	OHX22CTC
U	Unerupted	OHX22CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX22CTC
Y	Tooth present, condition cannot be assessed	OHX22CTC
Z	Permanent tooth with surface condition (s)	OHX22CTC
< blank >	Missing	OHX22CTC
1	Primary tooth (deciduous) present	OHX22TC
2	Permanent tooth present	OHX22TC
3	Dental implant	OHX22TC
4	Tooth not present	OHX22TC
5	Permanent dental root fragment present	OHX22TC
9	Could not assess	OHX22TC
.	Missing	OHX22TC
Coronal Caries:  Surface condition #23	Value was recorded	OHX23CSC
0	Lingual surface caries	OHX23CSC
2	Facial surface caries	OHX23CSC
3	Mesial caries	OHX23CSC
4	Distal caries	OHX23CSC
5	Lingual surface restoration	OHX23CSC
7	Facial surface restoration	OHX23CSC
8	Mesial restoration	OHX23CSC
9	Distal restoration	OHX23CSC
< blank >	Missing	OHX23CSC
D	Sound primary tooth	OHX23CTC
E	Missing due to dental disease	OHX23CTC
J	Permanent root tip is present but no restorative replacement is present	OHX23CTC
K	Primary tooth with surface condition (s)	OHX23CTC
M	Missing due to other causes	OHX23CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX23CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX23CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX23CTC
S	Sound permanent tooth	OHX23CTC
T	Permanent root tip is present but a restorative replacement is present	OHX23CTC
U	Unerupted	OHX23CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX23CTC
Y	Tooth present, condition cannot be assessed	OHX23CTC
Z	Permanent tooth with surface condition (s)	OHX23CTC
< blank >	Missing	OHX23CTC
1	Primary tooth (deciduous) present	OHX23TC
2	Permanent tooth present	OHX23TC
3	Dental implant	OHX23TC
4	Tooth not present	OHX23TC
5	Permanent dental root fragment present	OHX23TC
9	Could not assess	OHX23TC
.	Missing	OHX23TC
Coronal Caries:  Surface condition #24	Value was recorded	OHX24CSC
0	Lingual surface caries	OHX24CSC
2	Facial surface caries	OHX24CSC
3	Mesial caries	OHX24CSC
4	Distal caries	OHX24CSC
5	Lingual surface restoration	OHX24CSC
7	Facial surface restoration	OHX24CSC
8	Mesial restoration	OHX24CSC
9	Distal restoration	OHX24CSC
< blank >	Missing	OHX24CSC
D	Sound primary tooth	OHX24CTC
E	Missing due to dental disease	OHX24CTC
J	Permanent root tip is present but no restorative replacement is present	OHX24CTC
K	Primary tooth with surface condition (s)	OHX24CTC
M	Missing due to other causes	OHX24CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX24CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX24CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX24CTC
S	Sound permanent tooth	OHX24CTC
T	Permanent root tip is present but a restorative replacement is present	OHX24CTC
U	Unerupted	OHX24CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX24CTC
Y	Tooth present, condition cannot be assessed	OHX24CTC
Z	Permanent tooth with surface condition (s)	OHX24CTC
< blank >	Missing	OHX24CTC
1	Primary tooth (deciduous) present	OHX24TC
2	Permanent tooth present	OHX24TC
3	Dental implant	OHX24TC
4	Tooth not present	OHX24TC
5	Permanent dental root fragment present	OHX24TC
9	Could not assess	OHX24TC
.	Missing	OHX24TC
Coronal Caries:  Surface condition #25	Value was recorded	OHX25CSC
0	Lingual surface caries	OHX25CSC
2	Facial surface caries	OHX25CSC
3	Mesial caries	OHX25CSC
4	Distal caries	OHX25CSC
5	Lingual surface restoration	OHX25CSC
7	Facial surface restoration	OHX25CSC
8	Mesial restoration	OHX25CSC
9	Distal restoration	OHX25CSC
< blank >	Missing	OHX25CSC
D	Sound primary tooth	OHX25CTC
E	Missing due to dental disease	OHX25CTC
J	Permanent root tip is present but no restorative replacement is present	OHX25CTC
K	Primary tooth with surface condition (s)	OHX25CTC
M	Missing due to other causes	OHX25CTC
P	Missing due to dental disease but replaced by a removable restoration	OHX25CTC
Q	Missing due to other causes but replaced by a removable restoration	OHX25CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX25CTC
S	Sound permanent tooth	OHX25CTC
T	Permanent root tip is present but a restorative replacement is present	OHX25CTC
U	Unerupted	OHX25CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX25CTC
Y	Tooth present, condition cannot be assessed	OHX25CTC
Z	Permanent tooth with surface condition (s)	OHX25CTC
< blank >	Missing	OHX25CTC
1	Primary tooth (deciduous) present	OHX25TC
2	Permanent tooth present	OHX25TC
3	Dental implant	OHX25TC
4	Tooth not present	OHX25TC
5	Permanent dental root fragment present	OHX25TC
9	Could not assess	OHX25TC
.	Missing	OHX25TC
Coronal Caries:  Surface condition #26	Value was recorded	OHX26CSC
0	Lingual surface caries	OHX26CSC
2	Facial surface caries	OHX26CSC
3	Mesial caries	OHX26CSC
4	Distal caries	OHX26CSC
5	Lingual surface restoration	OHX26CSC
7	Facial surface restoration	OHX26CSC
8	Mesial restoration	OHX26CSC
9	Distal restoration	OHX26CSC
< blank >	Missing	OHX26CSC
D	Sound primary tooth	OHX26CTC
E	Missing due to dental disease	OHX26CTC
J	Permanent root tip is present but no restorative replacement is present	OHX26CTC
K	Primary tooth with surface condition (s)	OHX26CTC
M	Missing due to other causes	OHX26CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX26CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX26CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX26CTC
S	Sound permanent tooth	OHX26CTC
T	Permanent root tip is present but a restorative replacement is present	OHX26CTC
U	Unerupted	OHX26CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX26CTC
Y	Tooth present, condition cannot be assessed	OHX26CTC
Z	Permanent tooth with surface condition (s)	OHX26CTC
< blank >	Missing	OHX26CTC
1	Primary tooth (deciduous) present	OHX26TC
2	Permanent tooth present	OHX26TC
3	Dental implant	OHX26TC
4	Tooth not present	OHX26TC
5	Permanent dental root fragment present	OHX26TC
9	Could not assess	OHX26TC
.	Missing	OHX26TC
Coronal Caries:  Surface condition #27	Value was recorded	OHX27CSC
0	Lingual surface caries	OHX27CSC
2	Facial surface caries	OHX27CSC
3	Mesial caries	OHX27CSC
4	Distal caries	OHX27CSC
5	Lingual surface restoration	OHX27CSC
7	Facial surface restoration	OHX27CSC
8	Mesial restoration	OHX27CSC
9	Distal restoration	OHX27CSC
< blank >	Missing	OHX27CSC
D	Sound primary tooth	OHX27CTC
E	Missing due to dental disease	OHX27CTC
J	Permanent root tip is present but no restorative replacement is present	OHX27CTC
K	Primary tooth with surface condition (s)	OHX27CTC
M	Missing due to other causes	OHX27CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX27CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX27CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX27CTC
S	Sound permanent tooth	OHX27CTC
T	Permanent root tip is present but a restorative replacement is present	OHX27CTC
U	Unerupted	OHX27CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX27CTC
Y	Tooth present, condition cannot be assessed	OHX27CTC
Z	Permanent tooth with surface condition (s)	OHX27CTC
< blank >	Missing	OHX27CTC
1	Primary tooth (deciduous) present	OHX27TC
2	Permanent tooth present	OHX27TC
3	Dental implant	OHX27TC
4	Tooth not present	OHX27TC
5	Permanent dental root fragment present	OHX27TC
9	Could not assess	OHX27TC
.	Missing	OHX27TC
Coronal Caries:  Surface condition #28	Value was recorded	OHX28CSC
0	Lingual surface caries	OHX28CSC
1	Occlusal/incisal caries	OHX28CSC
2	Facial surface caries	OHX28CSC
3	Mesial caries	OHX28CSC
4	Distal caries	OHX28CSC
5	Lingual surface restoration	OHX28CSC
6	Occlusal/incisal restoration	OHX28CSC
7	Facial surface restoration	OHX28CSC
8	Mesial restoration	OHX28CSC
9	Distal restoration	OHX28CSC
< blank >	Missing	OHX28CSC
D	Sound primary tooth	OHX28CTC
E	Missing due to dental disease	OHX28CTC
J	Permanent root tip is present but no restorative replacement is present	OHX28CTC
K	Primary tooth with surface condition (s)	OHX28CTC
M	Missing due to other causes	OHX28CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX28CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX28CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX28CTC
S	Sound permanent tooth	OHX28CTC
T	Permanent root tip is present but a restorative replacement is present	OHX28CTC
U	Unerupted	OHX28CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX28CTC
Y	Tooth present, condition cannot be assessed	OHX28CTC
Z	Permanent tooth with surface condition (s)	OHX28CTC
< blank >	Missing	OHX28CTC
0	Sealant not present	OHX28SE
1	Occlusal sealant on permanent tooth	OHX28SE
2	Facial sealant on permanent tooth	OHX28SE
3	Lingual sealant on permanent tooth	OHX28SE
4	Occlusal sealant on primary tooth	OHX28SE
9	Cannot be assessed	OHX28SE
< blank >	Missing	OHX28SE
1	Primary tooth (deciduous) present	OHX28TC
2	Permanent tooth present	OHX28TC
3	Dental implant	OHX28TC
4	Tooth not present	OHX28TC
5	Permanent dental root fragment present	OHX28TC
9	Could not assess	OHX28TC
.	Missing	OHX28TC
Coronal Caries:  Surface condition #29	Value was recorded	OHX29CSC
0	Lingual surface caries	OHX29CSC
1	Occlusal/incisal caries	OHX29CSC
2	Facial surface caries	OHX29CSC
3	Mesial caries	OHX29CSC
4	Distal caries	OHX29CSC
5	Lingual surface restoration	OHX29CSC
6	Occlusal/incisal restoration	OHX29CSC
7	Facial surface restoration	OHX29CSC
8	Mesial restoration	OHX29CSC
9	Distal restoration	OHX29CSC
< blank >	Missing	OHX29CSC
D	Sound primary tooth	OHX29CTC
E	Missing due to dental disease	OHX29CTC
J	Permanent root tip is present but no restorative replacement is present	OHX29CTC
K	Primary tooth with surface condition (s)	OHX29CTC
M	Missing due to other causes	OHX29CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX29CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX29CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX29CTC
S	Sound permanent tooth	OHX29CTC
T	Permanent root tip is present but a restorative replacement is present	OHX29CTC
U	Unerupted	OHX29CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX29CTC
Y	Tooth present, condition cannot be assessed	OHX29CTC
Z	Permanent tooth with surface condition (s)	OHX29CTC
< blank >	Missing	OHX29CTC
0	Sealant not present	OHX29SE
1	Occlusal sealant on permanent tooth	OHX29SE
2	Facial sealant on permanent tooth	OHX29SE
3	Lingual sealant on permanent tooth	OHX29SE
4	Occlusal sealant on primary tooth	OHX29SE
9	Cannot be assessed	OHX29SE
< blank >	Missing	OHX29SE
1	Primary tooth (deciduous) present	OHX29TC
2	Permanent tooth present	OHX29TC
3	Dental implant	OHX29TC
4	Tooth not present	OHX29TC
5	Permanent dental root fragment present	OHX29TC
9	Could not assess	OHX29TC
.	Missing	OHX29TC
Coronal Caries:  Surface condition #30	Value was recorded	OHX30CSC
0	Lingual surface caries	OHX30CSC
1	Occlusal/incisal caries	OHX30CSC
2	Facial surface caries	OHX30CSC
3	Mesial caries	OHX30CSC
4	Distal caries	OHX30CSC
5	Lingual surface restoration	OHX30CSC
6	Occlusal/incisal restoration	OHX30CSC
7	Facial surface restoration	OHX30CSC
8	Mesial restoration	OHX30CSC
9	Distal restoration	OHX30CSC
< blank >	Missing	OHX30CSC
D	Sound primary tooth	OHX30CTC
E	Missing due to dental disease	OHX30CTC
J	Permanent root tip is present but no restorative replacement is present	OHX30CTC
K	Primary tooth with surface condition (s)	OHX30CTC
M	Missing due to other causes	OHX30CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX30CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX30CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX30CTC
S	Sound permanent tooth	OHX30CTC
T	Permanent root tip is present but a restorative replacement is present	OHX30CTC
U	Unerupted	OHX30CTC
X	Missing due to other causes, but replaced  by a fixed restoration	OHX30CTC
Y	Tooth present, condition cannot be assessed	OHX30CTC
Z	Permanent tooth with surface condition (s)	OHX30CTC
< blank >	Missing	OHX30CTC
Dental Sealants:  #30	Value was recorded	OHX30SE
0	Sealant not present	OHX30SE
1	Occlusal sealant on permanent tooth	OHX30SE
2	Facial sealant on permanent tooth	OHX30SE
3	Lingual sealant on permanent tooth	OHX30SE
4	Occlusal sealant on primary tooth	OHX30SE
9	Cannot be assessed	OHX30SE
< blank >	Missing	OHX30SE
1	Primary tooth (deciduous) present	OHX30TC
2	Permanent tooth present	OHX30TC
3	Dental implant	OHX30TC
4	Tooth not present	OHX30TC
5	Permanent dental root fragment present	OHX30TC
9	Could not assess	OHX30TC
.	Missing	OHX30TC
Coronal Caries:  Surface condition #31	Value was recorded	OHX31CSC
0	Lingual surface caries	OHX31CSC
1	Occlusal/incisal caries	OHX31CSC
2	Facial surface caries	OHX31CSC
3	Mesial caries	OHX31CSC
4	Distal caries	OHX31CSC
5	Lingual surface restoration	OHX31CSC
6	Occlusal/incisal restoration	OHX31CSC
7	Facial surface restoration	OHX31CSC
8	Mesial restoration	OHX31CSC
9	Distal restoration	OHX31CSC
< blank >	Missing	OHX31CSC
D	Sound primary tooth	OHX31CTC
E	Missing due to dental disease	OHX31CTC
J	Permanent root tip is present but no restorative replacement is present	OHX31CTC
K	Primary tooth with surface condition (s)	OHX31CTC
M	Missing due to other causes	OHX31CTC
P	Missing due to dental disease, but replaced by a removable restoration	OHX31CTC
Q	Missing due to other causes, but replaced by a removable restoration	OHX31CTC
R	Missing due to dental disease, but replaced by a fixed restoration	OHX31CTC
S	Sound permanent tooth	OHX31CTC
T	Permanent root tip is present but a restorative replacement is present	OHX31CTC
U	Unerupted	OHX31CTC
X	Missing due to other causes, but replaced by a fixed restoration	OHX31CTC
Y	Tooth present, condition cannot be assessed	OHX31CTC
Z	Permanent tooth with surface condition (s)	OHX31CTC
< blank >	Missing	OHX31CTC
Dental Sealants:  #31	Value was recorded	OHX31SE
0	Sealant not present	OHX31SE
1	Occlusal sealant on permanent tooth	OHX31SE
2	Facial sealant on permanent tooth	OHX31SE
3	Lingual sealant on permanent tooth	OHX31SE
4	Occlusal sealant on primary tooth	OHX31SE
9	Cannot be assessed	OHX31SE
< blank >	Missing	OHX31SE
1	Primary tooth (deciduous) present	OHX31TC
2	Permanent tooth present	OHX31TC
3	Dental implant	OHX31TC
4	Tooth not present	OHX31TC
5	Permanent dental root fragment present	OHX31TC
9	Could not assess	OHX31TC
.	Missing	OHX31TC
1	Primary tooth (deciduous) present	OHX32TC
2	Permanent tooth present	OHX32TC
3	Dental implant	OHX32TC
4	Tooth not present	OHX32TC
5	Permanent dental root fragment present	OHX32TC
9	Could not assess	OHX32TC
.	Missing	OHX32TC
1	Yes	OHXIMP
2	No	OHXIMP
.	Missing	OHXIMP
1 to 19	Range of Values	RXDCOUNT
.	Missing	RXDCOUNT
1 to 22995	Range of Values	RXDDAYS
77777	Refused	RXDDAYS
99999	Don't know	RXDDAYS
.	Missing	RXDDAYS
Generic drug code	Value was recorded	RXDDRGID
< blank >	Missing	RXDDRGID
Generic drug name	Value was recorded	RXDDRUG
55555	Unknown	RXDDRUG
77777	Refused	RXDDRUG
99999	Don't know	RXDDRUG
< blank >	Missing	RXDDRUG
1	Yes	RXDUSE
2	No	RXDUSE
7	Refused	RXDUSE
9	Don't know	RXDUSE
.	Missing	RXDUSE
1	Yes	RXQSEEN
2	No	RXQSEEN
.	Missing	RXQSEEN
1	English	CFALANG
2	Spanish	CFALANG
3	Asian language	CFALANG
.	Missing	CFALANG
1	3 tests	CFASTAT
2	2 tests	CFASTAT
3	1 test	CFASTAT
4	Ineligible, proxy	CFASTAT
5	Ineligible, other language	CFASTAT
6	No test done	CFASTAT
.	Missing	CFASTAT
1	Passed	CFDAPP
2	Failed	CFDAPP
3	Not done	CFDAPP
.	Missing	CFDAPP
1	Did not consent to audio record	CFDARNC
2	Communication problem	CFDARNC
3	Physical limitation	CFDARNC
5	Refused	CFDARNC
6	Equipment failure	CFDARNC
7	Other	CFDARNC
.	Missing	CFDARNC
1 to 40	Range of Values	CFDAST
.	Missing	CFDAST
1	Four completed recalls	CFDCCS
2	One to three completed recalls	CFDCCS
3	Not done	CFDCCS
.	Missing	CFDCCS
0 to 10	Range of Values	CFDCIR
.	Missing	CFDCIR
0 to 4	Range of Values	CFDCIT1
.	Missing	CFDCIT1
0 to 3	Range of Values	CFDCIT2
.	Missing	CFDCIT2
0 to 5	Range of Values	CFDCIT3
.	Missing	CFDCIT3
1	Did not consent to audio record	CFDCRNC
2	Communication problem	CFDCRNC
3	Physical limitation	CFDCRNC
4	Quit or gave up	CFDCRNC
5	Refused	CFDCRNC
6	Equipment failure	CFDCRNC
7	Other	CFDCRNC
.	Missing	CFDCRNC
0 to 10	Range of Values	CFDCSR
.	Missing	CFDCSR
0 to 9	Range of Values	CFDCST1
.	Missing	CFDCST1
0 to 10	Range of Values	CFDCST2
.	Missing	CFDCST2
0 to 10	Range of Values	CFDCST3
.	Missing	CFDCST3
1	Passed	CFDDPP
2	Failed	CFDDPP
3	Not done	CFDDPP
.	Missing	CFDDPP
2	Communication problem	CFDDRNC
3	Physical limitation	CFDDRNC
5	Refused	CFDDRNC
6	Equipment failure	CFDDRNC
7	Other	CFDDRNC
.	Missing	CFDDRNC
0 to 100	Range of Values	CFDDS
.	Missing	CFDDS
1	English	AIALANGA
2	Spanish	AIALANGA
3	Asian languages	AIALANGA
.	Missing	AIALANGA
1	Born in 50 US states or Washington, DC	DMDBORN4
2	Others	DMDBORN4
77	Refused	DMDBORN4
99	Don't Know	DMDBORN4
.	Missing	DMDBORN4
1	Citizen by birth or naturalization	DMDCITZN
2	Not a citizen of the US	DMDCITZN
7	Refused	DMDCITZN
9	Don't Know	DMDCITZN
.	Missing	DMDCITZN
1	Less than 9th grade	DMDEDUC2
2	9-11th grade (Includes 12th grade with no diploma)	DMDEDUC2
3	High school graduate/GED or equivalent	DMDEDUC2
4	Some college or AA degree	DMDEDUC2
5	College graduate or above	DMDEDUC2
7	Refused	DMDEDUC2
9	Don't Know	DMDEDUC2
.	Missing	DMDEDUC2
0	Never attended / kindergarten only	DMDEDUC3
1	1st grade	DMDEDUC3
2	2nd grade	DMDEDUC3
3	3rd grade	DMDEDUC3
4	4th grade	DMDEDUC3
5	5th grade	DMDEDUC3
6	6th grade	DMDEDUC3
7	7th grade	DMDEDUC3
8	8th grade	DMDEDUC3
9	9th grade	DMDEDUC3
10	10th grade	DMDEDUC3
11	11th grade	DMDEDUC3
12	12th grade, no diploma	DMDEDUC3
13	High school graduate	DMDEDUC3
14	GED or equivalent	DMDEDUC3
15	More than high school	DMDEDUC3
55	Less than 5th grade	DMDEDUC3
66	Less than 9th grade	DMDEDUC3
77	Refused	DMDEDUC3
99	Don't Know	DMDEDUC3
.	Missing	DMDEDUC3
1 to 6	Range of Values	DMDFMSIZ
7	7 or more people in the Family	DMDFMSIZ
.	Missing	DMDFMSIZ
1 to 6	Range of Values	DMDHHSIZ
7	7 or more people in the Household	DMDHHSIZ
.	Missing	DMDHHSIZ
0 to 2	Range of Values	DMDHHSZA
3	3 or more	DMDHHSZA
.	Missing	DMDHHSZA
0 to 3	Range of Values	DMDHHSZB
4	4 or more	DMDHHSZB
.	Missing	DMDHHSZB
0 to 2	Range of Values	DMDHHSZE
3	3 or more	DMDHHSZE
.	Missing	DMDHHSZE
18 to 79	Range of Values	DMDHRAGE
80	80 years of age and over	DMDHRAGE
.	Missing	DMDHRAGE
1	Born in 50 US states or Washington, DC	DMDHRBR4
2	Others	DMDHRBR4
77	Refused	DMDHRBR4
99	Don't Know	DMDHRBR4
.	Missing	DMDHRBR4
1	Less Than 9th Grade	DMDHREDU
2	9-11th Grade (Includes 12th grade with no diploma)	DMDHREDU
3	High School Grad/GED or Equivalent	DMDHREDU
4	Some College or AA degree	DMDHREDU
5	College Graduate or above	DMDHREDU
7	Refused	DMDHREDU
9	Don't Know	DMDHREDU
.	Missing	DMDHREDU
1	Male	DMDHRGND
2	Female	DMDHRGND
.	Missing	DMDHRGND
1	Married	DMDHRMAR
2	Widowed	DMDHRMAR
3	Divorced	DMDHRMAR
4	Separated	DMDHRMAR
5	Never married	DMDHRMAR
6	Living with partner	DMDHRMAR
77	Refused	DMDHRMAR
99	Don't Know	DMDHRMAR
.	Missing	DMDHRMAR
1	Less Than 9th Grade	DMDHSEDU
2	9-11th Grade (Includes 12th grade with no diploma)	DMDHSEDU
3	High School Grad/GED or Equivalent	DMDHSEDU
4	Some College or AA degree	DMDHSEDU
5	College Graduate or above	DMDHSEDU
7	Refused	DMDHSEDU
9	Don't Know	DMDHSEDU
.	Missing	DMDHSEDU
1	Married	DMDMARTL
2	Widowed	DMDMARTL
3	Divorced	DMDMARTL
4	Separated	DMDMARTL
5	Never married	DMDMARTL
6	Living with partner	DMDMARTL
77	Refused	DMDMARTL
99	Don't Know	DMDMARTL
.	Missing	DMDMARTL
1	Less than 1 year	DMDYRSUS
2	1 year or more, but less than 5 years	DMDYRSUS
3	5 year or more, but less than 10 years	DMDYRSUS
4	10 year or more, but less than 15 years	DMDYRSUS
5	15 year or more, but less than 20 years	DMDYRSUS
6	20 year or more, but less than 30 years	DMDYRSUS
7	30 year or more, but less than 40 years	DMDYRSUS
8	40 year or more, but less than 50 years	DMDYRSUS
9	50 years or more	DMDYRSUS
77	Refused	DMDYRSUS
99	Don't Know	DMDYRSUS
.	Missing	DMDYRSUS
1	Yes	DMQADFC
2	No	DMQADFC
7	Refused	DMQADFC
9	Don't Know	DMQADFC
.	Missing	DMQADFC
1	Yes	DMQMILIZ
2	No	DMQMILIZ
7	Refused	DMQMILIZ
9	Don't Know	DMQMILIZ
.	Missing	DMQMILIZ
1	Yes	FIAINTRP
2	No	FIAINTRP
.	Missing	FIAINTRP
1	English	FIALANG
2	Spanish	FIALANG
.	Missing	FIALANG
1	Yes	FIAPROXY
2	No	FIAPROXY
.	Missing	FIAPROXY
1	$ 0 to $ 4,999	INDFMIN2
2	$ 5,000 to $ 9,999	INDFMIN2
3	$10,000 to $14,999	INDFMIN2
4	$15,000 to $19,999	INDFMIN2
5	$20,000 to $24,999	INDFMIN2
6	$25,000 to $34,999	INDFMIN2
7	$35,000 to $44,999	INDFMIN2
8	$45,000 to $54,999	INDFMIN2
9	$55,000 to $64,999	INDFMIN2
10	$65,000 to $74,999	INDFMIN2
12	$20,000 and Over	INDFMIN2
13	Under $20,000	INDFMIN2
14	$75,000 to $99,999	INDFMIN2
15	$100,000 and Over	INDFMIN2
77	Refused	INDFMIN2
99	Don't know	INDFMIN2
.	Missing	INDFMIN2
0 to 4.99	Range of Values	INDFMPIR
5	Value greater than or equal to 5.00	INDFMPIR
.	Missing	INDFMPIR
1	$ 0 to $ 4,999	INDHHIN2
2	$ 5,000 to $ 9,999	INDHHIN2
3	$10,000 to $14,999	INDHHIN2
4	$15,000 to $19,999	INDHHIN2
5	$20,000 to $24,999	INDHHIN2
6	$25,000 to $34,999	INDHHIN2
7	$35,000 to $44,999	INDHHIN2
8	$45,000 to $54,999	INDHHIN2
9	$55,000 to $64,999	INDHHIN2
10	$65,000 to $74,999	INDHHIN2
12	$20,000 and Over	INDHHIN2
13	Under $20,000	INDHHIN2
14	$75,000 to $99,999	INDHHIN2
15	$100,000 and Over	INDHHIN2
77	Refused	INDHHIN2
99	Don't know	INDHHIN2
.	Missing	INDHHIN2
1	Yes	MIAINTRP
2	No	MIAINTRP
